Vessel Name,Voyage,Local Voyage,Service,ETA,ETD,Terminal,Cargo Volume,Expected Duration (hours),"Weather (0=dry,1=wet)"
BATAMINDO V,C59J0S,,Batamindo Feeder Service (BATAMAPL),11/10/2023 4:46,11/10/2023 20:45,PSA TERMINAL,334,15.98333333,1
MARCOPOLO 182,70755R,,Feeder of IDTTI to SGSIN (TTIAPL),11/10/2023 7:00,11/10/2023 18:00,PSA TERMINAL,232,11,0
APL DUBLIN,0PPGPE1MA,0PPGPE1MA,Pacific East Coast 2 (PEX2),11/10/2023 7:00,12/10/2023 7:00,PSA TERMINAL,502,24,0
SINAR SIANTAR,87453E,023N,SGN-BEL Feeder Service (SGBEAPL),11/10/2023 8:00,11/10/2023 11:00,PSA TERMINAL,59,3,0
CMA CGM BLUE WHALE,1QY7NS1MA,1QY7NS1NC,China South East Asia Loop 1 (CS1CNC),11/10/2023 9:00,12/10/2023 9:00,PSA TERMINAL,454,24,0
SOUL OF LUCK,02S53W,,SGN-BEL Feeder Service (SGBEAPL),11/10/2023 9:00,12/10/2023 16:00,PSA TERMINAL,679,31,0
BATAMINDO III,C61J0S,,Batamindo Feeder Service (BATAMAPL),11/10/2023 9:00,11/10/2023 16:59,PSA TERMINAL,184,7.983333333,1
SINAR SUNDA,4174YS,150S,Vietnam Singapore Feeder (VS2APL),11/10/2023 12:00,11/10/2023 16:00,PSA TERMINAL,74,4,0
KOTA PELANGI,0BDFOE1MA,0034E,Asia South America East Coast 2 (SEAS2),11/10/2023 12:00,12/10/2023 7:00,PSA TERMINAL,379,19,0
SUMBER JAYA 2518,0983QR,S364N,South East Asia Feeder 58 (SEASIA58),11/10/2023 13:00,11/10/2023 17:00,PSA TERMINAL,76,4,0
KOTA DUNIA,3453WW,0467W,South East Asia Feeder 15 (SEASIA15),11/10/2023 13:30,11/10/2023 14:30,PSA TERMINAL,23,1,1
SOL PIONEER,107R3N,2306S,Straits Bengal Service (SBSAPL),11/10/2023 14:00,11/10/2023 18:00,PSA TERMINAL,81,4,0
NORDBORG MAERSK,2456CN,340N,South East Asia Feeder 31 (SEASIA31),11/10/2023 15:00,12/10/2023 0:01,PSA TERMINAL,211,9.016666667,1
SINAR SIANTAR,87553W,023N,SGN-BEL Feeder Service (SGBEAPL),11/10/2023 16:00,12/10/2023 17:00,PSA TERMINAL,505,25,1
X-PRESS KAILASH,41SQ5E,23039E,South Asia Feeder 5 (SASIA5),11/10/2023 19:00,12/10/2023 19:00,PSA TERMINAL,472,24,0
MARCOPOLO 148,5358AR,,South East Asia Feeder 49 (SEASIA49),11/10/2023 22:00,12/10/2023 12:00,PSA TERMINAL,288,14,0
ANL DARWIN TRADER,09PCYS1MA,0012S,PAX ANL (PAXANL),12/10/2023 3:00,14/10/2023 3:00,PSA TERMINAL,1065,48,0
SUMBER JAYA 22,W426FN,QB366,South East Asia Feeder 1 (SEASIA1),12/10/2023 3:25,12/10/2023 4:25,PSA TERMINAL,21,1,0
BALTIC NORTH,04IFME1MA,04IFME1MA,Asea Kenya (ASEA2),12/10/2023 5:00,12/10/2023 18:00,PSA TERMINAL,305,13,0
FELIXSTOWE,0HG8HW1MA,40W,Asia Subcontinent Express 9 (AS9),12/10/2023 9:00,13/10/2023 2:00,PSA TERMINAL,407,17,1
SINDO GARUDA KENCANA,2018DR,261 JN,South East Asia Feeder 68 (SEASIA68),12/10/2023 8:03,13/10/2023 12:03,PSA TERMINAL,660,28,1
DANUM 160,420F8R,60209A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),12/10/2023 9:00,12/10/2023 17:00,PSA TERMINAL,164,8,0
SINAR SORONG,373H9N,0192S,South East Asia Feeder 75 (SEASIA75),12/10/2023 10:00,13/10/2023 10:00,PSA TERMINAL,498,24,0
NAP 902,213J4S,,Englee Feeder Service (MAREXT),12/10/2023 11:00,13/10/2023 12:00,PSA TERMINAL,494,25,1
MAERSK VARNA,I4S8JS,,South East Asia Feeder 51 (SEASIA51),12/10/2023 11:02,12/10/2023 17:02,PSA TERMINAL,120,6,0
DANU BHUM,0RCBBN1MA,525S,Singapore Songkhla Express (RSECNC),12/10/2023 13:00,13/10/2023 9:00,PSA TERMINAL,386,20,0
X-PRESS BARDSEY,0FH9KE1MA,23008E,Asia Subcontinent Express 8 (AS8),12/10/2023 12:00,13/10/2023 21:00,PSA TERMINAL,693,33,0
MARCOPOLO 268,183J4S,,Englee Feeder Service (MAREXT),12/10/2023 13:00,13/10/2023 14:00,PSA TERMINAL,514,25,0
ATI BHUM,195E1W,302NE,RCL Palembang Pasir Gudang Service (RPE2ATI),12/10/2023 14:00,13/10/2023 2:00,PSA TERMINAL,216,12,0
GOLDEN STAR 1,7313TN,6229S,South East Asia Feeder 13 (SEASIA13),12/10/2023 17:00,13/10/2023 9:00,PSA TERMINAL,343,16,0
MARCO POLO 128,5548AR,,South East Asia Feeder 49 (SEASIA49),12/10/2023 17:30,13/10/2023 7:30,PSA TERMINAL,292,14,0
CAPRICORN 57,W486FN,MB069,South East Asia Feeder 1 (SEASIA1),12/10/2023 21:00,12/10/2023 22:00,PSA TERMINAL,23,1,1
SINAR BUKITTINGI,3492VR,,South East Asia Feeder 8 (SEASIA8),12/10/2023 22:00,12/10/2023 23:00,PSA TERMINAL,23,1,1
SAMUDRA BINTAN 88,W626FN,19K23P,South East Asia Feeder 1 (SEASIA1),12/10/2023 23:30,13/10/2023 9:30,PSA TERMINAL,198,10,0
QINGDAO TOWER,0XL3TS1MA,0XL3TS1NC,Korea China South East Asia Service (KCSCNC),13/10/2023 2:00,14/10/2023 1:00,PSA TERMINAL,465,23,0
MTT SIBU,C373DW,,SGSIN MYPGU SGSIN Service (PGU1APL),13/10/2023 2:00,13/10/2023 20:00,PSA TERMINAL,337,18,1
INDO SUKSES 50,2962BE,,South East Asia Feeder 4 (SEASIA4),13/10/2023 2:00,14/10/2023 22:00,PSA TERMINAL,823,44,0
CAPRICORN 59,W606FN,RB706,South East Asia Feeder 1 (SEASIA1),13/10/2023 2:05,13/10/2023 3:05,PSA TERMINAL,23,1,1
MTT SIBU,6111YN,,South East Asia Feeder 2 (SEASIA2),13/10/2023 3:00,13/10/2023 19:00,PSA TERMINAL,315,16,1
BATAMINDO V,C63J0S,,Batamindo Feeder Service (BATAMAPL),13/10/2023 4:46,13/10/2023 22:45,PSA TERMINAL,342,17.98333333,0
MARCO POLO 220,173J4S,SO069J,Englee Feeder Service (MAREXT),13/10/2023 7:00,14/10/2023 8:00,PSA TERMINAL,483,25,0
KOTA RAJIN,127D3R,0300S,SINGAPORE MONGLA SERVICE (MGBAPL),13/10/2023 7:30,14/10/2023 15:30,PSA TERMINAL,592,32,0
MARCOPOLO 262,0942ZR,,South East Asia Feeder 11 (SEASIA11),13/10/2023 9:00,14/10/2023 7:00,PSA TERMINAL,457,22,1
